,id,Country,Population,Confirmed,Death,Recovered
186,187,Saint Lucia,160922,3.0,0.0,0.0
187,188,Tonga,122580,0.0,0.0,0.0
188,189,Virgin Islands,109775,0.0,0.0,0.0
189,190,Grenada,107818,7.0,0.0,0.0
190,191,"Micronesia, Federated States of",107154,0.0,0.0,0.0
191,192,Aruba,104589,0.0,0.0,0.0
192,193,Saint Vincent and the Grenadines,104217,1.0,0.0,0.0
193,194,Kiribati,99482,0.0,0.0,0.0
194,195,Jersey,91812,0.0,0.0,0.0
195,196,Seychelles,88340,7.0,0.0,0.0
196,197,Antigua and Barbuda,86754,7.0,0.0,0.0
197,198,Andorra,84525,224.0,3.0,1.0
198,199,Isle of Man,76913,0.0,0.0,0.0
199,DOM,Dominica,72813,11.0,0.0,0.0
200,201,Bermuda,68268,0.0,0.0,0.0
201,202,American Samoa,66432,0.0,0.0,0.0
202,203,Marshall Islands,65859,0.0,0.0,0.0
203,204,Guernsey,65632,0.0,0.0,0.0
204,GRL,Greenland,57637,0.0,0.0,0.0
205,206,Cayman Islands,50209,0.0,0.0,0.0
206,207,Saint Kitts and Nevis,49898,2.0,0.0,0.0
207,208,Faroe Islands,49057,0.0,0.0,0.0
208,209,Northern Mariana Islands,48317,0.0,0.0,0.0
209,210,Liechtenstein,35002,56.0,0.0,0.0
210,211,San Marino,31477,208.0,21.0,4.0
211,212,Monaco,30586,33.0,0.0,1.0
212,213,Saint Martin,30235,0.0,0.0,0.0
213,214,Gibraltar,28877,0.0,0.0,0.0
214,215,British Virgin Islands,24939,0.0,0.0,0.0
215,216,Turks and Caicos Islands,23528,0.0,0.0,0.0
216,217,Palau,20879,0.0,0.0,0.0
217,218,Akrotiri,15700,0.0,0.0,0.0
218,219,Dhekelia,15700,0.0,0.0,0.0
219,220,Wallis and Futuna,15343,0.0,0.0,0.0
220,221,Anguilla,14764,0.0,0.0,0.0
221,222,Nauru,14264,0.0,0.0,0.0
222,223,Cook Islands,11488,0.0,0.0,0.0
223,224,Tuvalu,10472,0.0,0.0,0.0
224,225,"Saint Helena, Ascension, and Tristan da Cunha",7670,0.0,0.0,0.0
225,226,Saint Barthelemy,7406,0.0,0.0,0.0
226,227,Saint Pierre and Miquelon,6010,0.0,0.0,0.0
227,228,Montserrat,5118,0.0,0.0,0.0
228,FLK,Falkland Islands (Islas Malvinas),3140,0.0,0.0,0.0
229,230,Norfolk Island,2155,0.0,0.0,0.0
230,231,Svalbard,2067,0.0,0.0,0.0
231,232,Christmas Island,1402,0.0,0.0,0.0
232,233,Tokelau,1400,0.0,0.0,0.0
233,234,Niue,1354,0.0,0.0,0.0
234,235,Holy See (Vatican City),829,4.0,0.0,0.0
235,236,Cocos (Keeling) Islands,596,0.0,0.0,0.0
236,237,Pitcairn Islands,48,0.0,0.0,0.0
237,ATA,Antarctica,0,0.0,0.0,0.0
238,ATF,French Southern and Antarctic Lands,0,0.0,0.0,0.0
239,SDS,South Sudan,12152321,0.0,0.0,0.0
240,ABV,Somaliland,3500000,0.0,0.0,0.0
